
="",="ln_pE0a",="ln_pE0b",="ln_pE1",="ln_pE2",="ln_pE4",="ln_pE5",="ln_pE6a_c",="ln_pE6d_h_i",="ln_pE6e",="ln_pE6f",="ln_pE6g",="ln_pEother"

="loss",="-0.24",="-3.85**",="0.38",="-0.88***",="0.24",="-0.51",="0.79***",="0.02",="2.04***",="1.37***",="-0.79",="0.71**"
="",="(-1.04)",="(-3.49)",="(1.68)",="(-3.72)",="(0.66)",="(-1.60)",="(3.59)",="(0.07)",="(5.01)",="(8.24)",="(-1.98)",="(3.43)"

="year",="0.01***",="-0.04***",="0.01***",="0.02***",="0.02***",="-0.00",="0.01***",="-0.01**",="-0.03***",="0.00",="0.02***",="0.00"
="",="(6.51)",="(-4.43)",="(3.66)",="(10.96)",="(5.54)",="(-1.28)",="(3.53)",="(-3.39)",="(-8.07)",="(1.18)",="(5.74)",="(0.52)"



="loss_nm",="-0.09",="-4.14***",="0.41",="-0.83***",="0.36",="-0.54",="0.92***",="0.23",="1.76***",="1.32***",="-0.73",="0.73***"
="",="(-0.39)",="(-4.06)",="(1.95)",="(-3.63)",="(1.08)",="(-1.77)",="(4.69)",="(0.81)",="(4.31)",="(8.31)",="(-1.91)",="(3.74)"

="year",="0.01***",="-0.05***",="0.01***",="0.02***",="0.02***",="-0.00",="0.01***",="-0.01***",="-0.02***",="0.00**",="0.02***",="0.00"
="",="(6.80)",="(-5.88)",="(4.50)",="(11.54)",="(6.33)",="(-1.78)",="(4.80)",="(-4.27)",="(-7.42)",="(3.35)",="(6.03)",="(1.32)"



="ln(loss)",="-0.08",="-0.65*",="0.09",="-0.22***",="0.05",="-0.08",="0.15**",="0.03",="0.40***",="0.27***",="-0.31***",="0.09"
="",="(-1.64)",="(-2.54)",="(1.90)",="(-4.33)",="(0.62)",="(-1.05)",="(3.02)",="(0.42)",="(4.17)",="(6.58)",="(-3.82)",="(1.75)"

="year",="0.01***",="-0.05***",="0.01***",="0.02***",="0.02***",="-0.01*",="0.01***",="-0.01***",="-0.02***",="0.00**",="0.02***",="0.00*"
="",="(7.61)",="(-6.04)",="(4.52)",="(12.32)",="(6.51)",="(-2.10)",="(4.99)",="(-4.05)",="(-7.30)",="(3.37)",="(7.50)",="(2.06)"



="ln(loss_nm)",="0.02",="-0.50",="0.07",="-0.10",="0.06",="-0.17*",="0.08",="0.06",="0.16",="0.15***",="-0.14",="0.07"
="",="(0.29)",="(-1.71)",="(1.24)",="(-1.64)",="(0.64)",="(-2.07)",="(1.54)",="(0.77)",="(1.50)",="(3.89)",="(-1.43)",="(1.31)"

="year",="0.01***",="-0.06***",="0.01***",="0.02***",="0.02***",="-0.00",="0.01***",="-0.01***",="-0.02***",="0.01***",="0.02***",="0.00*"
="",="(6.46)",="(-6.48)",="(4.57)",="(11.10)",="(6.21)",="(-1.46)",="(6.07)",="(-4.09)",="(-6.18)",="(5.85)",="(5.93)",="(2.23)"

